pos_x,pos_y,left_border_x,left_border_y,right_border_x,right_border_y,throttle,brake,target_speed,yaw
385.3262939453125,-204.6277313232422,385.1100145448279,-207.04813790822323,386.16278985807764,-195.26641345834202,0.14285001158714294,0.0,30.449403762817383,-84.89380315410712
383.81243896484375,-204.4917755126953,383.5966120593926,-206.89498751534634,384.65412851415044,-195.11964267702598,0.14285001158714294,0.0,30.456043243408203,-84.86816595737261
382.2982482910156,-204.3552703857422,382.0830761721022,-206.742079020691,383.1441121605752,-194.97247860931967,0.14285001158714294,0.0,30.461997985839844,-84.84867880178916
380.7837829589844,-204.2183074951172,380.5692766621813,-206.5902080042859,381.63330955773694,-194.82467848671848,0.14285001158714294,0.0,30.47130012512207,-84.83242975570421
379.2690124511719,-204.08102416992188,379.05544201288774,-206.43753906925994,380.121265247819,-194.67735187596244,0.14285001158714294,0.0,30.477689743041992,-84.82144337827755
377.7539978027344,-203.94345092773438,377.5414288046565,-206.2843505152628,378.608711791112,-194.53097949050766,0.14285001158714294,0.0,30.48468589782715,-84.81139857185383
373.113037109375,-203.52120971679688,372.9038832587468,-205.82007296009562,373.9719321427328,-194.08087564640937,0.14285001158714294,0.0,30.490318298339844,-84.80146072906288
371.5338134765625,-203.37742614746094,371.32588717957543,-205.66115107932686,372.39411073104657,-193.9284900708312,0.14285001158714294,0.0,30.497543334960938,-84.79773451948404
369.9543151855469,-203.2330780029297,369.7468057224235,-205.50370533546177,370.81875242431903,-193.77416084286,0.14285001158714294,0.0,30.506624221801758,-84.7783233683843
368.3742980957031,-203.08840942382812,368.16766013526046,-205.34523333775232,369.2411779657618,-193.6206658540748,0.14285001158714294,0.0,30.511932373046875,-84.76850498460786
366.79425048828125,-202.9429168701172,366.5875703020089,-205.18746152544,367.6667731539811,-193.46732987135232,0.14285001158714294,0.0,30.517986297607422,-84.73897625496053
365.2137451171875,-202.79730224609375,365.0080939117411,-205.02944642089562,366.0876723271776,-193.31167085022523,0.1389000117778778,0.0,30.522668838500977,-84.73610344147127
363.6331787109375,-202.65126037597656,363.42792927297455,-204.872612145066,364.5104819531542,-193.15647623202292,0.1389000117778778,0.0,30.526264190673828,-84.72094855941238
362.0523681640625,-202.50477600097656,361.8475050926665,-204.71558997979153,362.93300338547624,-193.0012542365531,0.1389000117778778,0.0,30.53502655029297,-84.7058569926
360.4712219238281,-202.35745239257812,360.26616799193437,-204.55818761067195,361.357594635325,-192.84448366024006,0.1389000117778778,0.0,30.539592742919922,-84.6768236928448
358.8900451660156,-202.2098846435547,358.6854852143621,-204.40172834432497,359.7786900208034,-192.6881253185073,0.1389000117778778,0.0,30.53999137878418,-84.66815538831453
357.3086853027344,-202.06301879882812,357.1059483627544,-204.24596378706343,358.1939361729732,-192.5311892727944,0.13495001196861267,0.0,30.541889190673828,-84.6939820658566
355.7273254394531,-201.91590881347656,355.525149640175,-204.08919904623082,356.61503613294843,-192.37345622234704,0.13495001196861267,0.0,30.543521881103516,-84.68521214070633
354.1459655761719,-201.76797485351562,353.94330910208384,-203.93429835517514,355.0394639930692,-192.21680394752573,0.13495001196861267,0.0,30.546703338623047,-84.65561548948965
352.5646057128906,-201.6190643310547,352.3613082454643,-203.77798802551064,353.46483552834854,-192.05904617808838,0.13495001196861267,0.0,30.548126220703125,-84.6205416818343
350.9832458496094,-201.46966552734375,350.77983133975874,-203.6227720683384,351.8871849886547,-191.9016299217769,0.13495001196861267,0.0,30.54840850830078,-84.60300629258172
349.4018859863281,-201.3194122314453,349.19783023326596,-203.46702287675356,350.3116701397922,-191.74427355688374,0.13495001196861267,0.0,30.54669761657715,-84.5723218032023
